MasterNLC,MasterASC,UniqueStationName,Easting,Northing,Latitude,Longitude
750,ABRd,Abbey Road,539071,183417,51.533,0.004
5131,ABWr,Abbey Wood,547309,179035,51.491,0.12
1404,ACCr,Acton Central,520656,180295,51.509,-0.263
3000,AMLr,Acton Main Line,520278,181205,51.517,-0.268
500,ACTu,Acton Town,519481,179599,51.503,-0.28
9441,ADVt,Addington Village,537067,163747,51.356,-0.033
9440,ADSt,Addiscombe,534186,166304,51.38,-0.073
5132,AYPr,Albany Park,547871,172853,51.435,0.126
502,ALDu,Aldgate,533623,181235,51.514,-0.076
503,ALEu,Aldgate East,533957,181397,51.516,-0.071
6025,AAPr,Alexandra Palace,530281,190456,51.598,-0.12
850,ALSd,All Saints,537985,180942,51.511,-0.013
505,ALPu,Alperton,517986,183803,51.541,-0.3
506,AMEu,Amersham,496395,198175,51.674,-0.607
9442,AMPt,Ampere Way,530670,166483,51.382,-0.124
5397,ANYr,Anerley,534625,169949,51.413,-0.066
507,ANGu,Angel,531464,183148,51.532,-0.106
508,ARCu,Archway,529365,186821,51.565,-0.135
9443,ARNt,Arena,535196,167629,51.392,-0.058
509,AGRu,Arnos Grove,529339,192492,51.616,-0.133
510,ARLu,Arsenal,531292,186086,51.558,-0.107
9444,AVRt,Avenue Road,535759,169335,51.407,-0.05
511,BSTu,Baker Street,527978,182018,51.523,-0.157
512,BALu,Balham LU,528469,173214,51.443,-0.153
5399,BALr,Balham NR,528569,173158,51.443,-0.151
513,BNKu,Bank and Monument,532707,181115,51.513,-0.089
5348,BADr,Banstead,524508,160446,51.329,-0.214
501,BARu,Barbican,532012,181850,51.52,-0.099
514,BKGu,Barking,544298,184423,51.54,0.079
1335,BGVr,Barking Riverside,546912,182212,51.52,0.116
515,BDEu,Barkingside,544798,189507,51.586,0.089
5089,BNHr,Barnehurst,550115,176217,51.465,0.16
5551,BNSr,Barnes,522269,175668,51.467,-0.241
5580,BNIr,Barnes Bridge,521460,176231,51.472,-0.253
516,BCTu,Barons Court,524117,178326,51.49,-0.214
5420,BAKr,Battersea Park,528693,177078,51.478,-0.148
832,BPSu,Battersea Power Station,529132,177322,51.48,0.142
6006,BAYr,Bayford,531528,208295,51.758,-0.096
517,BAYu,Bayswater,525811,180817,51.512,-0.188
3047,BCFr,Beaconsfield,493998,191151,51.611,-0.644
5076,BECr,Beckenham Hill,538061,171342,51.424,-0.016
5046,BKJr,Beckenham Junction,537344,169824,51.411,-0.027
9445,BCJt,Beckenham Junction Trams,537344,169824,51.411,-0.027
9446,BCRt,Beckenham Road,536193,169662,51.41,-0.043
895,BECd,Beckton,543134,181508,51.514,0.061
891,BEPd,Beckton Park,542710,180867,51.509,0.055
518,BECu,Becontree,547571,184522,51.54,0.127
9449,BDLt,Beddington Lane,529317,167238,51.389,-0.143
9450,BGWt,Belgrave Walk,526828,168440,51.401,-0.178
